0.371, 0 -0  0, 0.232499 -0.379987  -42.4636, 0.145112 -0.271418  -44.8075, 0 -0  0
0.372, 0 -0  0, 0.232499 -0.379987  -42.4636, 0.145112 -0.271418  -44.8075, 0 -0  0
0.379, 0 -0  0, 0.232499 -0.379987  -42.4636, 0.145112 -0.271418  -44.8075, 0 -0  0
0.38, 0 -0  0, 0.232499 -0.379987  -42.4636, 0.145112 -0.271418  -44.8075, 0 -0  0
0.382, 0 -0  0, 0.232499 -0.379987  -42.4636, 0.145112 -0.271418  -44.8075, 0 -0  0
0.383, 0 -0  0, 0.232499 -0.379987  -42.4636, 0.145112 -0.271418  -44.8075, 0 -0  0
0.384, 0 -0  0, 0.232499 -0.379987  -42.4636, 0.145112 -0.271418  -44.8075, 0 -0  0
0.384, 0 -0  0, 0.232499 -0.379987  -42.4636, 0.145112 -0.271418  -44.8075, 0 -0  0
0.385, 0 -0  0, 0.232499 -0.379987  -42.4636, 0.145112 -0.271418  -44.8075, 0 -0  0
0.389, 0 -0  0, 0.919835 -0.177219  -42.3212,  0.97612 -0.252077  -44.0255, 0 -0  0
0.396, 0 -0  0, 0.919835 -0.177219  -42.3212,  0.97612 -0.252077  -44.0255, 0 -0  0
0.397, 0 -0  0, 0.919835 -0.177219  -42.3212,  0.97612 -0.252077  -44.0255, 0 -0  0
0.398, 0 -0  0, 0.919835 -0.177219  -42.3212,  0.97612 -0.252077  -44.0255, 0 -0  0
0.399, 0 -0  0, 0.919835 -0.177219  -42.3212,  0.97612 -0.252077  -44.0255, 0 -0  0
0.4, 0 -0  0, 0.919835 -0.177219  -42.3212,  0.97612 -0.252077  -44.0255, 0 -0  0
0.401, 0 -0  0, 0.919835 -0.177219  -42.3212,  0.97612 -0.252077  -44.0255, 0 -0  0
0.402, 0 -0  0, 0.919835 -0.177219  -42.3212,  0.97612 -0.252077  -44.0255, 0 -0  0
0.403, 0 -0  0, 0.919835 -0.177219  -42.3212,  0.97612 -0.252077  -44.0255, 0 -0  0
0.413, 0 -0  0, 0.919835 -0.177219  -42.3212,  0.97612 -0.252077  -44.0255, 0 -0  0
0.415, 0 -0  0, 0.919835 -0.177219  -42.3212,  0.97612 -0.252077  -44.0255, 0 -0  0
0.416, 0 -0  0, 0.919835 -0.177219  -42.3212,  0.97612 -0.252077  -44.0255, 0 -0  0
0.418, 0 -0  0, 0.919835 -0.177219  -42.3212,  0.97612 -0.252077  -44.0255, 0 -0  0
0.421, 0 -0  0,  1.81487 -0.567487  -43.4259,  2.0057 -0.81764 -44.2927, 0 -0  0
0.423, 0 -0  0,  1.81487 -0.567487  -43.4259,  2.0057 -0.81764 -44.2927, 0 -0  0
0.423, 0 -0  0,  1.81487 -0.567487  -43.4259,  2.0057 -0.81764 -44.2927, 0 -0  0
0.424, 0 -0  0,  1.81487 -0.567487  -43.4259,  2.0057 -0.81764 -44.2927, 0 -0  0
0.43, 0 -0  0,  1.81487 -0.567487  -43.4259,  2.0057 -0.81764 -44.2927, 0 -0  0
0.431, 0 -0  0,  1.81487 -0.567487  -43.4259,  2.0057 -0.81764 -44.2927, 0 -0  0
0.432, 0 -0  0,  1.81487 -0.567487  -43.4259,  2.0057 -0.81764 -44.2927, 0 -0  0
0.433, 0 -0  0,  1.81487 -0.567487  -43.4259,  2.0057 -0.81764 -44.2927, 0 -0  0
0.434, 0 -0  0,  1.81487 -0.567487  -43.4259,  2.0057 -0.81764 -44.2927, 0 -0  0
0.435, 0 -0  0,  1.81487 -0.567487  -43.4259,  2.0057 -0.81764 -44.2927, 0 -0  0
0.435, 0 -0  0,  1.81487 -0.567487  -43.4259,  2.0057 -0.81764 -44.2927, 0 -0  0
0.436, 0 -0  0,  1.81487 -0.567487  -43.4259,  2.0057 -0.81764 -44.2927, 0 -0  0
0.446, 0 -0  0,  1.81487 -0.567487  -43.4259,  2.0057 -0.81764 -44.2927, 0 -0  0
0.45, 3.72072 -1.92146 -49.0673, 0 -0  0, 0 -0  0, 3.63905 -2.27491 -41.3282
0.451, 3.72072 -1.92146 -49.0673, 0 -0  0, 0 -0  0, 3.63905 -2.27491 -41.3282
0.452, 3.72072 -1.92146 -49.0673, 0 -0  0, 0 -0  0, 3.63905 -2.27491 -41.3282
0.453, 3.72072 -1.92146 -49.0673, 0 -0  0, 0 -0  0, 3.63905 -2.27491 -41.3282
0.454, 3.72072 -1.92146 -49.0673, 0 -0  0, 0 -0  0, 3.63905 -2.27491 -41.3282
