0,0 0 0,1 1 0,0 0 0,0 0 1
0.308, 0 -0  0,-0.950254 -0.958702  -47.3877, -1.29004 -0.527296  -49.8439, 0 -0  0
0.322, 0 -0  0,-0.960952 -0.747423  -45.4147,-0.815941  -0.96838  -47.9807, 0 -0  0
0.323, 0 -0  0,-0.960952 -0.747423  -45.4147,-0.815941  -0.96838  -47.9807, 0 -0  0
0.324, 0 -0  0,-0.960952 -0.747423  -45.4147,-0.815941  -0.96838  -47.9807, 0 -0  0
0.325, 0 -0  0,-0.960952 -0.747423  -45.4147,-0.815941  -0.96838  -47.9807, 0 -0  0
0.326, 0 -0  0,-0.960952 -0.747423  -45.4147,-0.815941  -0.96838  -47.9807, 0 -0  0
0.326, 0 -0  0,-0.960952 -0.747423  -45.4147,-0.815941  -0.96838  -47.9807, 0 -0  0
0.328, 0 -0  0,-0.960952 -0.747423  -45.4147,-0.815941  -0.96838  -47.9807, 0 -0  0
0.329, 0 -0  0,-0.960952 -0.747423  -45.4147,-0.815941  -0.96838  -47.9807, 0 -0  0
0.339, 0 -0  0,-0.960952 -0.747423  -45.4147,-0.815941  -0.96838  -47.9807, 0 -0  0
0.339, 0 -0  0,-0.960952 -0.747423  -45.4147,-0.815941  -0.96838  -47.9807, 0 -0  0
0.34, 0 -0  0,-0.960952 -0.747423  -45.4147,-0.815941  -0.96838  -47.9807, 0 -0  0
0.341, 0 -0  0,-0.960952 -0.747423  -45.4147,-0.815941  -0.96838  -47.9807, 0 -0  0
0.342, 0 -0  0,-0.960952 -0.747423  -45.4147,-0.815941  -0.96838  -47.9807, 0 -0  0
0.345, 0 -0  0,-0.350966 -0.895273  -43.6539,-0.494911 -0.721808  -46.0891, 0 -0  0
0.347, 0 -0  0,-0.350966 -0.895273  -43.6539,-0.494911 -0.721808  -46.0891, 0 -0  0
0.347, 0 -0  0,-0.350966 -0.895273  -43.6539,-0.494911 -0.721808  -46.0891, 0 -0  0
0.355, 0 -0  0,-0.350966 -0.895273  -43.6539,-0.494911 -0.721808  -46.0891, 0 -0  0
0.356, 0 -0  0,-0.350966 -0.895273  -43.6539,-0.494911 -0.721808  -46.0891, 0 -0  0
0.357, 0 -0  0,-0.350966 -0.895273  -43.6539,-0.494911 -0.721808  -46.0891, 0 -0  0
0.358, 0 -0  0,-0.350966 -0.895273  -43.6539,-0.494911 -0.721808  -46.0891, 0 -0  0
0.36, 0 -0  0,-0.350966 -0.895273  -43.6539,-0.494911 -0.721808  -46.0891, 0 -0  0
0.361, 0 -0  0,-0.350966 -0.895273  -43.6539,-0.494911 -0.721808  -46.0891, 0 -0  0
0.362, 0 -0  0,-0.350966 -0.895273  -43.6539,-0.494911 -0.721808  -46.0891, 0 -0  0
0.363, 0 -0  0,-0.350966 -0.895273  -43.6539,-0.494911 -0.721808  -46.0891, 0 -0  0
0.372, 0 -0  0,-0.350966 -0.895273  -43.6539,-0.494911 -0.721808  -46.0891, 0 -0  0
0.373, 0 -0  0,-0.350966 -0.895273  -43.6539,-0.494911 -0.721808  -46.0891, 0 -0  0
0.377, 0 -0  0, 0.320284 -0.717588  -40.7359, 0.277856 -0.678424  -43.4395, 0 -0  0
0.378, 0 -0  0, 0.320284 -0.717588  -40.7359, 0.277856 -0.678424  -43.4395, 0 -0  0
0.379, 0 -0  0, 0.320284 -0.717588  -40.7359, 0.277856 -0.678424  -43.4395, 0 -0  0
0.379, 0 -0  0, 0.320284 -0.717588  -40.7359, 0.277856 -0.678424  -43.4395, 0 -0  0
0.381, 0 -0  0, 0.320284 -0.717588  -40.7359, 0.277856 -0.678424  -43.4395, 0 -0  0
0.382, 0 -0  0, 0.320284 -0.717588  -40.7359, 0.277856 -0.678424  -43.4395, 0 -0  0
0.389, 0 -0  0, 0.320284 -0.717588  -40.7359, 0.277856 -0.678424  -43.4395, 0 -0  0
0.39, 0 -0  0, 0.320284 -0.717588  -40.7359, 0.277856 -0.678424  -43.4395, 0 -0  0
0.391, 0 -0  0, 0.320284 -0.717588  -40.7359, 0.277856 -0.678424  -43.4395, 0 -0  0
0.392, 0 -0  0, 0.320284 -0.717588  -40.7359, 0.277856 -0.678424  -43.4395, 0 -0  0
0.393, 0 -0  0, 0.320284 -0.717588  -40.7359, 0.277856 -0.678424  -43.4395, 0 -0  0
0.393, 0 -0  0, 0.320284 -0.717588  -40.7359, 0.277856 -0.678424  -43.4395, 0 -0  0
0.394, 0 -0  0, 0.320284 -0.717588  -40.7359, 0.277856 -0.678424  -43.4395, 0 -0  0
0.397, 0 -0  0, 0.41998 -0.24651 -40.4974, 0.606154 -0.507487  -43.0246, 0 -0  0
0.405, 0 -0  0, 0.41998 -0.24651 -40.4974, 0.606154 -0.507487  -43.0246, 0 -0  0
0.407, 0 -0  0, 0.41998 -0.24651 -40.4974, 0.606154 -0.507487  -43.0246, 0 -0  0
0.407, 0 -0  0, 0.41998 -0.24651 -40.4974, 0.606154 -0.507487  -43.0246, 0 -0  0
0.408, 0 -0  0, 0.41998 -0.24651 -40.4974, 0.606154 -0.507487  -43.0246, 0 -0  0
0.409, 0 -0  0, 0.41998 -0.24651 -40.4974, 0.606154 -0.507487  -43.0246, 0 -0  0
0.41, 0 -0  0, 0.41998 -0.24651 -40.4974, 0.606154 -0.507487  -43.0246, 0 -0  0
0.411, 0 -0  0, 0.41998 -0.24651 -40.4974, 0.606154 -0.507487  -43.0246, 0 -0  0
0.412, 0 -0  0, 0.41998 -0.24651 -40.4974, 0.606154 -0.507487  -43.0246, 0 -0  0
0.422, 0 -0  0, 0.41998 -0.24651 -40.4974, 0.606154 -0.507487  -43.0246, 0 -0  0
0.423, 0 -0  0, 0.41998 -0.24651 -40.4974, 0.606154 -0.507487  -43.0246, 0 -0  0
0.424, 0 -0  0, 0.41998 -0.24651 -40.4974, 0.606154 -0.507487  -43.0246, 0 -0  0
0.425, 0 -0  0, 0.41998 -0.24651 -40.4974, 0.606154 -0.507487  -43.0246, 0 -0  0
0.429, 0 -0  0,  1.10383 -0.460115  -42.5802,  1.22875 -0.629618  -44.6416, 0 -0  0
0.43, 0 -0  0,  1.10383 -0.460115  -42.5802,  1.22875 -0.629618  -44.6416, 0 -0  0
0.431, 0 -0  0,  1.10383 -0.460115  -42.5802,  1.22875 -0.629618  -44.6416, 0 -0  0
0.432, 0 -0  0,  1.10383 -0.460115  -42.5802,  1.22875 -0.629618  -44.6416, 0 -0  0
0.439, 0 -0  0,  1.10383 -0.460115  -42.5802,  1.22875 -0.629618  -44.6416, 0 -0  0
0.44, 0 -0  0,  1.10383 -0.460115  -42.5802,  1.22875 -0.629618  -44.6416, 0 -0  0
0.441, 0 -0  0,  1.10383 -0.460115  -42.5802,  1.22875 -0.629618  -44.6416, 0 -0  0
0.442, 0 -0  0,  1.10383 -0.460115  -42.5802,  1.22875 -0.629618  -44.6416, 0 -0  0
0.443, 0 -0  0,  1.10383 -0.460115  -42.5802,  1.22875 -0.629618  -44.6416, 0 -0  0
