0.401, 0 -0  0, 0.909863 -0.183479   -42.322, 0.964724 -0.256727  -44.0333, 0 -0  0
0.402, 0 -0  0, 0.909863 -0.183479   -42.322, 0.964724 -0.256727  -44.0333, 0 -0  0
0.41, 0 -0  0, 0.909863 -0.183479   -42.322, 0.964724 -0.256727  -44.0333, 0 -0  0
0.411, 0 -0  0, 0.909863 -0.183479   -42.322, 0.964724 -0.256727  -44.0333, 0 -0  0
0.411, 0 -0  0, 0.909863 -0.183479   -42.322, 0.964724 -0.256727  -44.0333, 0 -0  0
0.412, 0 -0  0, 0.909863 -0.183479   -42.322, 0.964724 -0.256727  -44.0333, 0 -0  0
0.413, 0 -0  0, 0.909863 -0.183479   -42.322, 0.964724 -0.256727  -44.0333, 0 -0  0
0.418, 0 -0  0,  1.80314 -0.585257  -43.4481,  2.00586 -0.850498   -44.306, 0 -0  0
0.419, 0 -0  0,  1.80314 -0.585257  -43.4481,  2.00586 -0.850498   -44.306, 0 -0  0
0.422, 0 -0  0,  1.80314 -0.585257  -43.4481,  2.00586 -0.850498   -44.306, 0 -0  0
0.426, 0 -0  0,  1.80314 -0.585257  -43.4481,  2.00586 -0.850498   -44.306, 0 -0  0
0.428, 0 -0  0,  1.80314 -0.585257  -43.4481,  2.00586 -0.850498   -44.306, 0 -0  0
0.429, 0 -0  0,  1.80314 -0.585257  -43.4481,  2.00586 -0.850498   -44.306, 0 -0  0
0.43, 0 -0  0,  1.80314 -0.585257  -43.4481,  2.00586 -0.850498   -44.306, 0 -0  0
0.43, 0 -0  0,  1.80314 -0.585257  -43.4481,  2.00586 -0.850498   -44.306, 0 -0  0
0.431, 0 -0  0,  1.80314 -0.585257  -43.4481,  2.00586 -0.850498   -44.306, 0 -0  0
0.432, 0 -0  0,  1.80314 -0.585257  -43.4481,  2.00586 -0.850498   -44.306, 0 -0  0
0.433, 0 -0  0,  1.80314 -0.585257  -43.4481,  2.00586 -0.850498   -44.306, 0 -0  0
0.443, 0 -0  0,  1.80314 -0.585257  -43.4481,  2.00586 -0.850498   -44.306, 0 -0  0
0.444, 0 -0  0,  1.80314 -0.585257  -43.4481,  2.00586 -0.850498   -44.306, 0 -0  0
0.448,  3.6773  -1.9411 -49.0468, 0 -0  0, 0 -0  0,  3.6403 -2.23799 -41.3394
0.449,  3.6773  -1.9411 -49.0468, 0 -0  0, 0 -0  0,  3.6403 -2.23799 -41.3394
0.451,  3.6773  -1.9411 -49.0468, 0 -0  0, 0 -0  0,  3.6403 -2.23799 -41.3394
0.452,  3.6773  -1.9411 -49.0468, 0 -0  0, 0 -0  0,  3.6403 -2.23799 -41.3394
0.456,  3.6773  -1.9411 -49.0468, 0 -0  0, 0 -0  0,  3.6403 -2.23799 -41.3394
0.458,  3.6773  -1.9411 -49.0468, 0 -0  0, 0 -0  0,  3.6403 -2.23799 -41.3394
0.46,  3.6773  -1.9411 -49.0468, 0 -0  0, 0 -0  0,  3.6403 -2.23799 -41.3394
0.461,  3.6773  -1.9411 -49.0468, 0 -0  0, 0 -0  0,  3.6403 -2.23799 -41.3394
0.462,  3.6773  -1.9411 -49.0468, 0 -0  0, 0 -0  0,  3.6403 -2.23799 -41.3394
0.463,  3.6773  -1.9411 -49.0468, 0 -0  0, 0 -0  0,  3.6403 -2.23799 -41.3394
0.464,  3.6773  -1.9411 -49.0468, 0 -0  0, 0 -0  0,  3.6403 -2.23799 -41.3394
0.466,  3.6773  -1.9411 -49.0468, 0 -0  0, 0 -0  0,  3.6403 -2.23799 -41.3394
0.467,  3.6773  -1.9411 -49.0468, 0 -0  0, 0 -0  0,  3.6403 -2.23799 -41.3394
0.472, 4.27228 -3.94646 -55.8411, 0 -0  0, 0 -0  0, 3.67222  -4.7571 -57.2144
0.478, 4.27228 -3.94646 -55.8411, 0 -0  0, 0 -0  0, 3.67222  -4.7571 -57.2144
0.48, 4.27228 -3.94646 -55.8411, 0 -0  0, 0 -0  0, 3.67222  -4.7571 -57.2144
0.481, 4.27228 -3.94646 -55.8411, 0 -0  0, 0 -0  0, 3.67222  -4.7571 -57.2144
0.484, 4.27228 -3.94646 -55.8411, 0 -0  0, 0 -0  0, 3.67222  -4.7571 -57.2144
0.486, 4.27228 -3.94646 -55.8411, 0 -0  0, 0 -0  0, 3.67222  -4.7571 -57.2144
0.487, 4.27228 -3.94646 -55.8411, 0 -0  0, 0 -0  0, 3.67222  -4.7571 -57.2144
0.489, 4.27228 -3.94646 -55.8411, 0 -0  0, 0 -0  0, 3.67222  -4.7571 -57.2144
0.491, 4.27228 -3.94646 -55.8411, 0 -0  0, 0 -0  0, 3.67222  -4.7571 -57.2144
0.494, 4.27228 -3.94646 -55.8411, 0 -0  0, 0 -0  0, 3.67222  -4.7571 -57.2144
0.496, 4.27228 -3.94646 -55.8411, 0 -0  0, 0 -0  0, 3.67222  -4.7571 -57.2144
0.498, 4.27228 -3.94646 -55.8411, 0 -0  0, 0 -0  0, 3.67222  -4.7571 -57.2144
0.5, 4.27228 -3.94646 -55.8411, 0 -0  0, 0 -0  0, 3.67222  -4.7571 -57.2144
0.504,  3.01822 0.0419961  -51.7792,0 0 0,0 0 0,0.211652 -3.68014 -49.1286
0.507,  3.01822 0.0419961  -51.7792,0 0 0,0 0 0,0.211652 -3.68014 -49.1286
0.508,  3.01822 0.0419961  -51.7792,0 0 0,0 0 0,0.211652 -3.68014 -49.1286
0.51,  3.01822 0.0419961  -51.7792,0 0 0,0 0 0,0.211652 -3.68014 -49.1286
0.511,  3.01822 0.0419961  -51.7792,0 0 0,0 0 0,0.211652 -3.68014 -49.1286
0.512,  3.01822 0.0419961  -51.7792,0 0 0,0 0 0,0.211652 -3.68014 -49.1286
0.513,  3.01822 0.0419961  -51.7792,0 0 0,0 0 0,0.211652 -3.68014 -49.1286
0.514,  3.01822 0.0419961  -51.7792,0 0 0,0 0 0,0.211652 -3.68014 -49.1286
0.516,  3.01822 0.0419961  -51.7792,0 0 0,0 0 0,0.211652 -3.68014 -49.1286
0.517,  3.01822 0.0419961  -51.7792,0 0 0,0 0 0,0.211652 -3.68014 -49.1286
0.518,  3.01822 0.0419961  -51.7792,0 0 0,0 0 0,0.211652 -3.68014 -49.1286
0.519,  3.01822 0.0419961  -51.7792,0 0 0,0 0 0,0.211652 -3.68014 -49.1286
0.528,  3.01822 0.0419961  -51.7792,0 0 0,0 0 0,0.211652 -3.68014 -49.1286
0.531,0.870668 -1.14892 -47.1833,0 0 0,0 0 0,0.824361 -1.18305 -46.0588
0.532,0.870668 -1.14892 -47.1833,0 0 0,0 0 0,0.824361 -1.18305 -46.0588
0.534,0.870668 -1.14892 -47.1833,0 0 0,0 0 0,0.824361 -1.18305 -46.0588
0.535,0.870668 -1.14892 -47.1833,0 0 0,0 0 0,0.824361 -1.18305 -46.0588
0.536,0.870668 -1.14892 -47.1833,0 0 0,0 0 0,0.824361 -1.18305 -46.0588
0.537,0.870668 -1.14892 -47.1833,0 0 0,0 0 0,0.824361 -1.18305 -46.0588
0.539,0.870668 -1.14892 -47.1833,0 0 0,0 0 0,0.824361 -1.18305 -46.0588
0.544,0.870668 -1.14892 -47.1833,0 0 0,0 0 0,0.824361 -1.18305 -46.0588
0.546,0.870668 -1.14892 -47.1833,0 0 0,0 0 0,0.824361 -1.18305 -46.0588
0.547,0.870668 -1.14892 -47.1833,0 0 0,0 0 0,0.824361 -1.18305 -46.0588
0.549,0.870668 -1.14892 -47.1833,0 0 0,0 0 0,0.824361 -1.18305 -46.0588
0.551,0.870668 -1.14892 -47.1833,0 0 0,0 0 0,0.824361 -1.18305 -46.0588
0.552,0.870668 -1.14892 -47.1833,0 0 0,0 0 0,0.824361 -1.18305 -46.0588
0.556, 0.626984 -0.645587  -43.6713,0 0 0,0 0 0, 0.940112 -0.246761  -44.6534
0.558, 0.626984 -0.645587  -43.6713,0 0 0,0 0 0, 0.940112 -0.246761  -44.6534
0.561, 0.626984 -0.645587  -43.6713,0 0 0,0 0 0, 0.940112 -0.246761  -44.6534
0.562, 0.626984 -0.645587  -43.6713,0 0 0,0 0 0, 0.940112 -0.246761  -44.6534
0.564, 0.626984 -0.645587  -43.6713,0 0 0,0 0 0, 0.940112 -0.246761  -44.6534
0.565, 0.626984 -0.645587  -43.6713,0 0 0,0 0 0, 0.940112 -0.246761  -44.6534
0.566, 0.626984 -0.645587  -43.6713,0 0 0,0 0 0, 0.940112 -0.246761  -44.6534
0.567, 0.626984 -0.645587  -43.6713,0 0 0,0 0 0, 0.940112 -0.246761  -44.6534
0.569, 0.626984 -0.645587  -43.6713,0 0 0,0 0 0, 0.940112 -0.246761  -44.6534
0.57, 0.626984 -0.645587  -43.6713,0 0 0,0 0 0, 0.940112 -0.246761  -44.6534
0.578, 0.626984 -0.645587  -43.6713,0 0 0,0 0 0, 0.940112 -0.246761  -44.6534
