0.373, 0 -0  0, 0.272312 -0.746707  -40.3334, 0.294569 -0.790324   -42.802, 0 -0  0
0.374, 0 -0  0, 0.272312 -0.746707  -40.3334, 0.294569 -0.790324   -42.802, 0 -0  0
0.375, 0 -0  0, 0.272312 -0.746707  -40.3334, 0.294569 -0.790324   -42.802, 0 -0  0
0.376, 0 -0  0, 0.272312 -0.746707  -40.3334, 0.294569 -0.790324   -42.802, 0 -0  0
0.377, 0 -0  0, 0.272312 -0.746707  -40.3334, 0.294569 -0.790324   -42.802, 0 -0  0
0.379, 0 -0  0, 0.272312 -0.746707  -40.3334, 0.294569 -0.790324   -42.802, 0 -0  0
0.38, 0 -0  0, 0.272312 -0.746707  -40.3334, 0.294569 -0.790324   -42.802, 0 -0  0
0.384, 0 -0  0, 0.346178 -0.205263  -40.1906, 0.650153 -0.597834  -42.4366, 0 -0  0
0.39, 0 -0  0, 0.346178 -0.205263  -40.1906, 0.650153 -0.597834  -42.4366, 0 -0  0
0.391, 0 -0  0, 0.346178 -0.205263  -40.1906, 0.650153 -0.597834  -42.4366, 0 -0  0
0.392, 0 -0  0, 0.346178 -0.205263  -40.1906, 0.650153 -0.597834  -42.4366, 0 -0  0
0.393, 0 -0  0, 0.346178 -0.205263  -40.1906, 0.650153 -0.597834  -42.4366, 0 -0  0
0.394, 0 -0  0, 0.346178 -0.205263  -40.1906, 0.650153 -0.597834  -42.4366, 0 -0  0
0.395, 0 -0  0, 0.346178 -0.205263  -40.1906, 0.650153 -0.597834  -42.4366, 0 -0  0
0.397, 0 -0  0, 0.346178 -0.205263  -40.1906, 0.650153 -0.597834  -42.4366, 0 -0  0
0.398, 0 -0  0, 0.346178 -0.205263  -40.1906, 0.650153 -0.597834  -42.4366, 0 -0  0
0.409, 0 -0  0, 0.346178 -0.205263  -40.1906, 0.650153 -0.597834  -42.4366, 0 -0  0
0.41, 0 -0  0, 0.346178 -0.205263  -40.1906, 0.650153 -0.597834  -42.4366, 0 -0  0
0.411, 0 -0  0, 0.346178 -0.205263  -40.1906, 0.650153 -0.597834  -42.4366, 0 -0  0
0.412, 0 -0  0, 0.346178 -0.205263  -40.1906, 0.650153 -0.597834  -42.4366, 0 -0  0
