output_1,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,output_10,output_11,output_12,output_13,output_14,output_15
1.14297,-0.154357,0.213,1.14871,0.127353,0.213,0.726846,-0.147958,0.105,0.737298,0.141371,0.105,0.196718,-0.00537287,0.0356832
1.14308,-0.154203,0.213,1.14855,0.12752,0.213,0.726666,-0.147805,0.105,0.737592,0.141497,0.105,0.196679,-0.00536187,0.0358989
1.14369,-0.154368,0.213,1.14885,0.127369,0.213,0.726962,-0.147999,0.105,0.738322,0.141278,0.105,0.196648,-0.0053361,0.036071
1.14393,-0.154226,0.213,1.14871,0.127526,0.213,0.726855,-0.147915,0.105,0.73859,0.141341,0.105,0.19663,-0.00529632,0.0361741
1.14426,-0.154093,0.213,1.14867,0.127675,0.213,0.726845,-0.147836,0.105,0.738947,0.1414,0.105,0.196614,-0.00525853,0.0362657
1.14459,-0.153974,0.213,1.14862,0.127809,0.213,0.726833,-0.147767,0.105,0.739295,0.141448,0.105,0.1966,-0.00522252,0.0363453
1.14494,-0.15386,0.213,1.14858,0.127939,0.213,0.726832,-0.147701,0.105,0.73965,0.141496,0.105,0.196588,-0.00518843,0.0364145
1.14531,-0.153754,0.213,1.14856,0.128061,0.213,0.726851,-0.147637,0.105,0.740021,0.141541,0.105,0.196578,-0.00515719,0.0364745
1.14568,-0.153671,0.213,1.14854,0.12816,0.213,0.726865,-0.14759,0.105,0.740391,0.141569,0.105,0.196569,-0.00512915,0.0365252
1.14605,-0.153596,0.213,1.14853,0.128251,0.213,0.726878,-0.147545,0.105,0.740762,0.141596,0.105,0.196562,-0.00510449,0.0365671
1.14642,-0.153529,0.213,1.14852,0.128335,0.213,0.72689,-0.1475,0.105,0.741135,0.141623,0.105,0.196557,-0.00508321,0.0366007
1.1468,-0.153468,0.213,1.14851,0.128411,0.213,0.7269,-0.147456,0.105,0.74151,0.141648,0.105,0.196552,-0.00506531,0.0366262
1.14717,-0.153415,0.213,1.14851,0.128481,0.213,0.726909,-0.147413,0.105,0.741888,0.141673,0.105,0.196549,-0.00505079,0.0366439
1.14755,-0.153368,0.213,1.14852,0.128543,0.213,0.726917,-0.147371,0.105,0.742268,0.141697,0.105,0.196548,-0.00503964,0.0366539
1.14793,-0.153329,0.213,1.14853,0.128599,0.213,0.726924,-0.147329,0.105,0.742651,0.14172,0.105,0.196548,-0.00503184,0.0366564
1.14831,-0.153296,0.213,1.14854,0.128648,0.213,0.726931,-0.147287,0.105,0.743037,0.141743,0.105,0.196549,-0.00502738,0.0366515
1.14869,-0.153269,0.213,1.14856,0.128691,0.213,0.726937,-0.147244,0.105,0.743428,0.141766,0.105,0.196551,-0.00502624,0.0366394
1.14908,-0.153249,0.213,1.14859,0.128728,0.213,0.726943,-0.147202,0.105,0.743823,0.141789,0.105,0.196554,-0.00502842,0.0366202
1.14947,-0.153232,0.213,1.14863,0.128761,0.213,0.726947,-0.147156,0.105,0.744221,0.141814,0.105,0.196559,-0.00503396,0.0365943
1.14987,-0.153204,0.213,1.14868,0.128806,0.213,0.726965,-0.147093,0.105,0.744636,0.141857,0.105,0.196564,-0.00504239,0.0365641
1.15029,-0.153173,0.213,1.14874,0.128853,0.213,0.726996,-0.147027,0.105,0.745068,0.141902,0.105,0.19657,-0.00505153,0.0365316
1.1507,-0.153144,0.213,1.14881,0.128899,0.213,0.727028,-0.14696,0.105,0.7455,0.141948,0.105,0.196577,-0.00506147,0.0364968
1.15113,-0.153104,0.213,1.14889,0.128957,0.213,0.727062,-0.14688,0.105,0.745936,0.142007,0.105,0.196583,-0.00507224,0.0364594
1.15155,-0.153075,0.213,1.14896,0.129003,0.213,0.727097,-0.14681,0.105,0.746373,0.142055,0.105,0.19659,-0.00508324,0.0364192
1.15198,-0.15304,0.213,1.14904,0.129055,0.213,0.727134,-0.146735,0.105,0.746813,0.142109,0.105,0.196598,-0.00509473,0.0363763
1.15241,-0.153005,0.213,1.14913,0.129106,0.213,0.727173,-0.146658,0.105,0.747256,0.142165,0.105,0.196606,-0.00510674,0.0363304
1.15284,-0.152974,0.213,1.14921,0.129155,0.213,0.727216,-0.146583,0.105,0.747702,0.142218,0.105,0.196615,-0.00511961,0.036279
1.15328,-0.152944,0.213,1.14931,0.129202,0.213,0.72726,-0.14651,0.105,0.748152,0.142269,0.105,0.196625,-0.00513168,0.036226
1.15372,-0.152908,0.213,1.1494,0.129255,0.213,0.727308,-0.146431,0.105,0.748605,0.142327,0.105,0.196635,-0.00514438,0.03617
1.15417,-0.152872,0.213,1.1495,0.129309,0.213,0.727358,-0.14635,0.105,0.749063,0.142385,0.105,0.196645,-0.00515775,0.0361107
1.15462,-0.152836,0.213,1.14961,0.129362,0.213,0.727412,-0.146267,0.105,0.749525,0.142446,0.105,0.196656,-0.0051716,0.0360481
1.15508,-0.152804,0.213,1.14972,0.129411,0.213,0.727468,-0.146188,0.105,0.749992,0.142501,0.105,0.196668,-0.00518595,0.0359821
1.15555,-0.152762,0.213,1.14985,0.12947,0.213,0.727536,-0.146098,0.105,0.75047,0.142569,0.105,0.19668,-0.00520099,0.0359131
1.15603,-0.152715,0.213,1.14998,0.129536,0.213,0.727614,-0.146,0.105,0.750961,0.142644,0.105,0.196693,-0.0052165,0.0358422
1.15651,-0.15267,0.213,1.15012,0.129597,0.213,0.727696,-0.145906,0.105,0.751455,0.142715,0.105,0.196706,-0.00523205,0.0357693
1.157,-0.152619,0.213,1.15027,0.129666,0.213,0.727781,-0.145804,0.105,0.751954,0.142793,0.105,0.196719,-0.00524815,0.0356944
1.15749,-0.152567,0.213,1.15042,0.129736,0.213,0.727869,-0.145699,0.105,0.752457,0.142874,0.105,0.196732,-0.00526462,0.0356173
1.15799,-0.152518,0.213,1.15057,0.129802,0.213,0.72796,-0.145598,0.105,0.752965,0.142951,0.105,0.196746,-0.00528149,0.035538
1.15849,-0.152463,0.213,1.15073,0.129876,0.213,0.728055,-0.145488,0.105,0.753477,0.143037,0.105,0.196761,-0.00529881,0.0354565
1.159,-0.152411,0.213,1.1509,0.129945,0.213,0.728152,-0.145381,0.105,0.753994,0.143119,0.105,0.196775,-0.00531663,0.0353726
1.15954,-0.152353,0.213,1.1511,0.130021,0.213,0.728288,-0.145267,0.105,0.754549,0.143209,0.105,0.19679,-0.0053351,0.0352875
1.16008,-0.1523,0.213,1.1513,0.130093,0.213,0.728422,-0.145156,0.105,0.755104,0.143294,0.105,0.196805,-0.00535426,0.0352013
1.16062,-0.152246,0.213,1.1515,0.130165,0.213,0.728554,-0.145042,0.105,0.755657,0.143382,0.105,0.19682,-0.00537389,0.0351138
1.16118,-0.15219,0.213,1.15172,0.130239,0.213,0.728695,-0.144926,0.105,0.756223,0.143473,0.105,0.196835,-0.00539404,0.0350249
1.16173,-0.152132,0.213,1.15193,0.130315,0.213,0.728834,-0.144806,0.105,0.756787,0.143566,0.105,0.196851,-0.00541475,0.0349345
1.16229,-0.15207,0.213,1.15215,0.130396,0.213,0.728983,-0.144682,0.105,0.757362,0.143664,0.105,0.196866,-0.00543585,0.0348429
1.16286,-0.152003,0.213,1.15238,0.130481,0.213,0.729142,-0.144552,0.105,0.757947,0.143767,0.105,0.196882,-0.00545684,0.0347515
1.16342,-0.151933,0.213,1.15261,0.130569,0.213,0.729297,-0.14442,0.105,0.75853,0.143872,0.105,0.196898,-0.0054778,0.03466
1.16399,-0.151863,0.213,1.15285,0.130658,0.213,0.729455,-0.144287,0.105,0.759115,0.143978,0.105,0.196913,-0.00549871,0.0345684
1.16459,-0.151791,0.213,1.1531,0.130749,0.213,0.729635,-0.144152,0.105,0.759723,0.144085,0.105,0.196928,-0.00551988,0.0344781
1.16516,-0.151718,0.213,1.15334,0.13084,0.213,0.729799,-0.144016,0.105,0.840316,0.144194,0.159,0.196943,-0.005541,0.0343878
1.16574,-0.151644,0.213,1.15358,0.130933,0.213,0.729967,-0.143879,0.105,0.840912,0.144304,0.159,0.196959,-0.00556205,0.0342976
1.16633,-0.151569,0.213,1.15383,0.131027,0.213,0.730138,-0.143741,0.105,0.841512,0.144414,0.159,0.196974,-0.00558302,0.0342075
1.16691,-0.151492,0.213,1.15407,0.131121,0.213,0.730314,-0.143601,0.105,0.842116,0.144525,0.159,0.196989,-0.00560389,0.0341175
1.1675,-0.151415,0.213,1.15433,0.131217,0.213,0.730493,-0.143461,0.105,0.842724,0.144637,0.159,0.197004,-0.00562463,0.0340279
1.1681,-0.151337,0.213,1.15458,0.131314,0.213,0.730677,-0.14332,0.105,0.843336,0.14475,0.159,0.197018,-0.00564523,0.0339387
1.16871,-0.151257,0.213,1.15486,0.131413,0.213,0.730876,-0.143177,0.105,0.843967,0.144864,0.159,0.197032,-0.00566593,0.0338537
1.16935,-0.151174,0.213,1.15516,0.131513,0.213,0.731103,-0.143032,0.105,0.844624,0.14498,0.159,0.197046,-0.00568671,0.0337705
1.16994,-0.15109,0.213,1.15541,0.131617,0.213,0.731287,-0.142884,0.105,0.845238,0.145099,0.159,0.19706,-0.00570747,0.0336885
1.17053,-0.151003,0.213,1.15566,0.131723,0.213,0.731466,-0.142734,0.105,0.845847,0.14522,0.159,0.197073,-0.00572808,0.033607
1.17112,-0.150915,0.213,1.15592,0.131829,0.213,0.73165,-0.142583,0.105,0.84646,0.145342,0.159,0.197086,-0.0057485,0.0335262
1.17162,-0.150847,0.213,1.15607,0.131917,0.213,0.731735,-0.14245,0.105,0.846973,0.145445,0.159,0.197099,-0.00576976,0.0334436
1.17231,-0.150737,0.213,1.15642,0.132047,0.213,0.732019,-0.142277,0.105,0.847684,0.145589,0.159,0.197113,-0.00578971,0.0333631
1.17291,-0.150646,0.213,1.15667,0.132158,0.213,0.732206,-0.142124,0.105,0.848296,0.145712,0.159,0.197126,-0.00580945,0.0332826
1.17352,-0.150556,0.213,1.15694,0.132267,0.213,0.73241,-0.141973,0.105,0.848925,0.145834,0.159,0.197138,-0.00582885,0.033203
1.17414,-0.150465,0.213,1.15721,0.132378,0.213,0.732619,-0.141822,0.105,0.849559,0.145956,0.159,0.197151,-0.0058479,0.0331245
1.17476,-0.150373,0.213,1.15749,0.13249,0.213,0.732832,-0.141669,0.105,0.850198,0.146079,0.159,0.197163,-0.00586657,0.0330471
1.17539,-0.150279,0.213,1.15777,0.132604,0.213,0.733052,-0.141516,0.105,0.850841,0.146203,0.159,0.197176,-0.00588486,0.0329708
1.17602,-0.150184,0.213,1.15806,0.132719,0.213,0.733276,-0.141362,0.105,0.851489,0.146327,0.159,0.197188,-0.00590275,0.0328958
1.17666,-0.150087,0.213,1.15835,0.132836,0.213,0.733507,-0.141207,0.105,0.852143,0.146453,0.159,0.197199,-0.00592024,0.0328219
1.1773,-0.149995,0.213,1.15865,0.132947,0.213,0.733742,-0.141057,0.105,0.852802,0.146573,0.159,0.197211,-0.00593757,0.0327493
1.17793,-0.149894,0.213,1.15893,0.133067,0.213,0.733967,-0.1409,0.105,0.853449,0.1467,0.159,0.197222,-0.00595454,0.0326777
1.17855,-0.149799,0.213,1.1592,0.133182,0.213,0.734177,-0.140748,0.105,0.854083,0.146822,0.159,0.197234,-0.00597149,0.0326062
1.17917,-0.149696,0.213,1.15948,0.133304,0.213,0.734395,-0.140588,0.105,0.854725,0.146952,0.159,0.197245,-0.00598817,0.0325351
1.17981,-0.149598,0.213,1.15976,0.133422,0.213,0.73462,-0.140434,0.105,0.855373,0.147076,0.159,0.197256,-0.00600483,0.0324642
1.18045,-0.149498,0.213,1.16005,0.13354,0.213,0.734852,-0.140278,0.105,0.856029,0.147202,0.159,0.197267,-0.00602134,0.0323936
1.18109,-0.14939,0.213,1.16035,0.133667,0.213,0.735088,-0.140114,0.105,0.856691,0.147335,0.159,0.197278,-0.00603781,0.0323263
1.18174,-0.14928,0.213,1.16066,0.133796,0.213,0.735338,-0.139949,0.105,0.857365,0.14747,0.159,0.197288,-0.00605368,0.0322578
1.18241,-0.149175,0.213,1.16097,0.13392,0.213,0.735595,-0.139789,0.105,0.858046,0.147599,0.159,0.197299,-0.00606954,0.0321895
1.18308,-0.149068,0.213,1.1613,0.134045,0.213,0.735862,-0.139628,0.105,0.858736,0.14773,0.159,0.19731,-0.00608537,0.0321217
1.18376,-0.14896,0.213,1.16163,0.134172,0.213,0.736138,-0.139465,0.105,0.859437,0.147862,0.159,0.19732,-0.00610118,0.0320542
1.18445,-0.14885,0.213,1.16197,0.134301,0.213,0.736424,-0.1393,0.105,0.860148,0.147995,0.159,0.197331,-0.00611697,0.0319871
